Judul,Label
"Artikel Sangat Berharga: Pengakuan Jujur Jusuf Kalla, Perjuangan Moral Jokowi",HOAX
SURAT UNDANGAN WORKSHOP PENDUKUNG JABATAN FUNGSIONAL PERENCANAAN (WORKSHOP PAK-APAK),HOAX
Tulisan Lafadz Allah di Tisu Toilet,HOAX
Klarifikasi BKN Terkait Surat Optimalisasi Pemenuhan Kebutuhan PNS oleh BKN,HOAX
"Jokowi Bilang “PKI Tidak Bersalah, apalagi Mengancam”",HOAX
Kapten Leo Sianturi Ditelantarkan Rumah Sakit TNI,HOAX
Jokowi akan Bekerja Sama dengan Beberapa Bank Menggunakan Dana Nasabah untuk Proyek Besar,HOAX
“Keluarga Gusdur mendukung penuh calon President 01”,HOAX
Penjelasan Terkait Beredarnya Foto Kartu E-Money Prabowo-Sandi,BENAR
"Rizal Ramli : RI Berhutang Lagi Yield 11,625%, 4 Maret 2019",HOAX
Poster Habib Rizieq Shihab Tarik Dukungan Terhadap Prabowo,HOAX
DITEMUKAN MAYAT MENGAMBANG DI DUDUKSAMPEYAN GRESIK,HOAX
PSI Buat dan Pasang Spanduk yang Bertuliskan ‘Hargai Hak – Hak LGBT’,HOAX
Pesan Berantai Lazada Grand Prize Hadiah Ratusan Juta Rupiah,HOAX
Adanya Teroris di Minut Sulawesi Utara,HOAX
"“Salam dari Maher Zain""",HOAX
“Polisi mulai intimidasi warga *InfoAkurat”,HOAX
“paham politik gak sih pak?”,HOAX
“Ini buktinya Prabowo bersama cucu PKI”,HOAX
"“Stroke Kambuh, Prabowo Batal Orasi Politik di Acara Fraksi PKS”",HOAX
“Diduga Dibangun Pakai Material Kw 3 dari China”,HOAX
Alasan Din Syamsuddin Mundur Dari Utusan Khusus Presiden,HOAX
“KORAN INGGRIS”,HOAX
Foto Spanduk “KAMI OPTIMIS PAK JOKOWI TAK AKAN BOHONG DAN INGKAR JANJI LAGI”,HOAX
"Tangkapan Layar Artikel “Web KPU Diretas, Temuan Mengejutan!! Jokowi Angkat Isu PKI”",HOAX
Klarifikasi Ridwan Kamil Terkait Tudingan Bermain Dua Kaki,BENAR
Pembuatan SIM Tanpa Tes pada 29 Februari 2019,HOAX
Bocoran Informasi Penting Valid Pola Kecurangan Sistem Penghitungan Suara KPU Dengan Modus Nomor 01 dan 02,HOAX
“Tidak ada hadiah sepeda buat mu nak”,HOAX
Ustaz Abdul Somad Mengacungkan Jari 1 Mendukung Jokowi,HOAX
Pelaku Pembakaran Beberapa Mobil di Daerah Jawa Tengah Sudah Tertangkap,HOAX
“Pawai penyambutan Pak Prabowo di Bandung”,HOAX
Pulau Batam Dianggap Sebagai Wilayah Luar Negeri.,HOAX
TERJADI AKSI BEGAL DI WILAYAH LIMUNJAN BERAU,HOAX
KLARIFIKASI PETANI KULONPROGO YANG SEMPROT MATI LAHAN CABAI,BENAR
Surat Panggilan Proses Penerimaan Kerja PT Pelni,HOAX
PLN Bantah Informasi Tenggat Pembayaran Listrik Dimajukan Tanggal 5 Setiap Bulannya,BENAR
Ali Mochtar Ngabalin Diserang Stroke Karena Doanya Sendiri,HOAX
Penjelasan Terkait Informasi Mobil Berstiker Prabowo-Sandi Tidak Boleh Masuk Kebun Raya Bogor,BENAR
“Santriwati ponpes Al-Fattah Temboro dukung Prabowo – Sandi”,HOAX
Kuaci Direbus dengan Tulang Babi,HOAX
Video Habib Rizieq Joged Bersama Penari Perut.,HOAX
Nama Jokowi Masuk Daftar Klien Konsultan Asing Stanley Greenberg,HOAX
"Alinka Humaira Nurhanzah, cucunya ibu Hj. Kesah barusan di culik",HOAX
"“Waspada, indikasi nyata PKI mulai bangkit”",HOAX
Penjelasan terkait Pernyataan Prabowo soal Impor Air di Debat Capres,BENAR
“Terdapat obat bius di daun teh Tiek Kwan Im”,HOAX
Prabowo Gunakan Kacamata Google Glass untuk Contek Jawaban di Debat Pilpres Kedua,HOAX
Tiket Promo Kereta Api Hut BUMN 21,HOAX
“whatsapp akan mengumpulkan dana setiap kali gambar dibagikan”,HOAX
“SBY suruh coblos nomor 01 @Jokowi Amin”,HOAX
Foto Suntingan Jokowi,HOAX
HANYA DI TV MNC GRUP ADZAN MAGHRIB DIGANTI IKLAN,HOAX
Ma’ruf Amin Sebut Memilih Jokowi dengan Dirinya Sama Saja Sudah Mengantongi Tiket Surga,HOAX
Anak Kecil Bersembunyi di Kolong Meja Saat Bertemu Presiden Joko Widodo,HOAX
Berita Terkait Tenaga Kerja Asing Memiliki E-KTP di Cianjur,BENAR
Video Kampanye Capres 01 Bahasa Mandarin,HOAX
"DIBERI DUIT, BAJU DAN MAKAN, TAPI ACARA TETAP SUNYI, RELAWAN JOKOWI HAMPIR BUNUH DIRI",HOAX
“Pemusnahan babi massal di Thailand”,HOAX
Klarifikasi Terkait Isu Kelangkaan Gas LPG 3 Kg di Bangka Belitung,BENAR
Ketum PEPES Bantah Emak-emak Ditangkap di Karawang Anggotanya,BENAR
Klarifikasi Polres Bogor Terkait Pembuatan SIM Tanpa Tes Rp. 150 Ribu di Acara Millenial Road Safety Festival,BENAR
Akun Facebook Polwan Dukung Prabowo Sandi,HOAX
Video Bunuh Diri yang Terjadi di Mayasari Plaza,HOAX
Prabowo Marah Pada Ulama dan Tokoh Masyarakat di Madura,HOAX
"LUHUT : JOKOWI SHALAT JUMAT SAMPAI 4 RAKAAT, PRABOWO KALAH JAUH",HOAX
"“TKA China Punya e-KTP, Mendagri : Jangan Protes!! Petahana Punya Hak Atas Segalanya”",HOAX
Screenshot Foto Tsamara Amany dengan Ajakan Akun Media Sosial Bernama Projo untuk Dukung Jokowi yang Dibantu Melalui Cara Ilegal,HOAX
Foto Anak Rohingya Disiksa Komunis,HOAX
“FB LITE LAGI DI HACK”,HOAX
“sejak kapan KA ini menuliskan huruf/bahasa China?”,HOAX
“mereka sdh melegalkan kemaksiatan”,HOAX
Gatot Nurmantyo Bantah Isi Pesan Berantai Yang Mencatut Namanya,BENAR
“Orang Jakarta pada canggih euy”,HOAX
“Jika Rezim Komunis Berkuasa Apa daya MUSLIM”,HOAX
Prabowo Usia 12 Tahun Kuliah di Amerika Serikat dengan Beasiswa,HOAX
Turn Back Hoax Dibentuk Bukan Untuk Menangkal Hoax Melainkan Untuk Menaikkan Elektabilitas Jokowi,HOAX
Din Syamsuddin Mengundurkan Diri Karena Kecewa Jokowi Tak Temui Ulama Uzbekistan dan Xinjiang,HOAX
“Tenang pak Anies Baswedan kita masih punya medsos”,HOAX
DOKUMEN NEGARA DIANGKUT KONTAINER BERTULISKAN HURUF CINA,HOAX
"“Pantesan Kampanye 70K0W1 Selalu Sepi, Uang Transport Massa Ditilep Tim Suksesnya Sendiri”",HOAX
"Penjelasan terkait Unggahan yang Berisi Berita Berjudul “Tanahnya Dipatok Rp3.500 per Meter, Warga Demo Bawa Foto Jokowi “Hoax Ganti Untung”",BENAR
Innalillahi.. Ternyata Presiden Sekarang Sebenarnya Kristen ! Dan Pemerintahan Sekarang Di Kuasai Kristen ! >> Pantas Banyak Kebijakannya Yang Anti Islam !,HOAX
Mozaik Betawi Pilih Nomor 2,HOAX
Informasi Kebakaran SPBU Medalem Bojonegoro,HOAX
Info Pembagian Kursi Roda Gratis di Palembang,HOAX
Mobil 2019 Tetap Jokowi Masuk Got,HOAX
Saat-saat terakhir korban kecelakaan pesawat Ethiopian Airlines Boeing 737 Max-8,HOAX
Masukan Persatuan Tunanetra Indonesia Terkait Braile Surat Suara di Jakarta 80% Salah Semua,HOAX
 Saling Menyerang Menggunakan “Klaim Mirip”,HOAX
Maklumat Masyayikh Ponpes Lirboyo Dukung Prabowo – Sandi,HOAX
"Klarifikasi Keluarga Zulfirman Syah, Korban Penembakan Brutal di Masjid Christchurch",BENAR
 Foto di Cuitan “Jumlah korban meninggal…” Oleh @pedjoeang_islam,HOAX
Foto di cuitan “Saudari kita ini…” oleh @pedjoeang_islam,HOAX
“Suasana sholat jenazah para korban teroris di new zealand”,HOAX
“Indochina” di Foto Kontainer “Southern Hauliers”,BENAR
"""Ternyata begini cara Presiden mengajarkan politik”",HOAX
Perampokan Wanita Oleh Supir Taksi Online di Balikpapan,HOAX
Terjemahan Surat Al Kafirun dalam Al-Quran Diganti Kata Non-Muslim,HOAX
“BELUM WAKTUNYA SURAT SUARA PENCOBLOSAN SUDAH BERTEBARAN”,HOAX
"Foto Banner Caleg PKS Bernama Hendrayani Bertuliskan Santun, Peduli, Poligami",HOAX
“Jokowi sdh berkunjung ke Christchurch”,HOAX
Penjelasan terkait Video Mobil Berplat TNI yang Membawa Logistik Kampanye Prabowo-Sandi,HOAX
"Papan Elektronik Masjid Unsri Diretas: ‘Sholat no 1, Presiden No 2’",BENAR
Area Proyek Bandara Kulonprogo Terendam Banjir,HOAX
Cawapres Sandiaga Uno Berfoto dengan Romi yang Berada di Dalam Sel Penjara,HOAX
Metro TV Memberitakan Penyerang Senator Australia Ternyata Pengagum Jokowi,HOAX
“Prabowo mengeluarkan kalimat yang merendahkan kaum miskin di Indonesia”,HOAX
LIPI Tidak Mengeluarkan Hasil Survei Capres-Cawapres,BENAR
Penjelasan Haikal Hassan terkait Cuitannya yang Mendukung Jokowi dan Sebut Prabowo Tidak Jumatan Malah Minum Bir,BENAR
Pesawat-pesawat PAF menciptakan formasi yang indah dari nama Allah di langit”,HOAX
“lengan kanan dekap lengan kiri”,HOAX
Penjelasan KPU Gowa terkait Baliho Surat Suara yang Tidak Mencantumkan Foto Capres-Cawapres Prabowo-Sandi,BENAR
"PKS Menang, Dua Istri Menjadi Nyata",HOAX
oto di Post “Presiden Chechnya Dukung Prabowo Sandi”,HOAX
Foto di Post “PRABOWO SANDI DINANTI DUNIA!”,HOAX
Foto di Cuitan “Presiden yang tertukar…”,HOAX
PT KAI Memberikan Klarifikasi Terkait KA Argo Parahyangan Berasap,BENAR
Kode QR ke Tautan hebatdiki(dot)com,BENAR
Info Pembuatan SIM Kolektif di Alun-alun Surakarta,HOAX
KERATON JOGJA TOLAK KEDATANGAN JOKOWI & MEGA KARENA AURA NEGATIF,HOAX
Habib Rizieq Syihab : Menlu Retno LP Marsudi mengimbau staf KBRI Riyadh dan KJRI Jeddah di Arab Saudi agar memenangkan capres Jokowi,HOAX
Penjelasan terkait Novel Baswedan yang Disebut jadi Partisipan Partai Gerindra dan Ketidaknetralan KPK di Pilpres 2019,BENAR
Surat suara yang sah harus ada tanda tangan KPPS,BENAR
Potongan Langsung Alfamart Untuk Bayar Sembako Pilpres,HOAX
“Peresmian Patung Yesus Memberkati oleh Jokowi”,HOAX
Dana haji dipakai oleh pemerintah Jokowi untuk membangun infrastruktur,HOAX
Video Said Aqil Siradj Dukung Prabowo,HOAX
"“Dimalaysia sdah pencoblosan, Pak Prabowo menang telak, tapi kotak surat suara terbakar di jalan saat mau di bawa”",HOAX
“Hasil perhitungan sementara diluar negri luarbiasa”,HOAX
Klarifikasi PT Schroder Terkait Isu Memberikan Dana Kampanye Untuk Sandiaga Uno,BENAR
Foto Capres Jokowi Mengenakan Jaket yang Berisi Banyak Kartu,HOAX
POSTINGAN FACEBOOK SAF SALAT PRIA-WANITA CAMPUR DI KAMPANYE 02 ADALAH HOAKS,HOAX
Gus Sholah Mendukung Prabowo,HOAX
"Foto “Diluar yang gak bisa masuk, ribuan doang ini gak jutaan”",HOAX
"“frustasi, gara-gara gak laku, kampanye sepi, akses jalan dihadang oleh mobil oknum dari salah satu paslon”",HOAX
Samsul Bahri Ketua KPPS Sydney Pro 02,HOAX
SMS Hadiah Lazada Birthday,HOAX
Jokowi Mau Temui Rizieq di Mekkah,HOAX
"Pemilu Di Australia Pendukung 02 Tidak Boleh Masuk, Alasan Waktu Sudah Habis",HOAX
5 Panita Pengawas Desa di Aceh Tamiang Dipecat karena Pose Dua Jari,BENAR
Ribuan Suara Pemilih Prabowo Hangus Karena Kecurangan Pemilu di Turki,HOAX
PERGERAKAN MIRIP ’98’,HOAX
Habib Rizieq Shihab Serukan Coblos Jokowi,HOAX
“Data di Mabes TNI berdasarkan Formulir C1”,HOAX
KPU dituduh melakukan “penggiringan opini yang luar biasa”,HOAX
“Luhut Diusir Mahasiswa dan Diteriaki Prabowo”,HOAX
Jokowi Diruqiyah dan Tambah Ilmu Ghaib untuk Menangi Pilpres 2019,HOAX
“2014 Jokowi tidak di wakili suara rakyat menjadi presiden dengan kecurangan”,HOAX
Kegiatan Sujud Syukur Kemenangan Prabowo – Sandi yang Diselenggarakan PA 212 Batal karena Ada Apel Siaga TNI – Polri di Monas,HOAX
"Yudis, konsultan IT KPU yang mengendalikan Sistem Penghitungan (Situng) KPU adalah pendukung 02",HOAX
“cukong China yang di juluki 9 Naga di belakang Timses 01”,HOAX
Meme BJ Habibie Mengatakan “lawan berat Prabowo itu bukan Jokowi tp kecurangan”,HOAX
“14 hacker cebong lenyap”,HOAX
"Suntingan Video “Jalan-Jalan ke Mal, Jokowi Diteriaki Warga”",HOAX
PESAN AJAKAN KONVOI RESMI AREMA ,HOAX
Air Terjun Dari Langit ,HOAX
"Madura kacau, ribuan warga Sampang, Madura kepung KPU tuntut kecurangan massa bentrok dengan Polisi ",HOAX
Foto RA Kartini Berjilbab dan Berkaca mata. ,HOAX
"Komisioner KPU, Ilham Saputra adalah adik kandung Yuga Aden, Tim Komunikasi Badan Pemenangan Nasional (BPN) ",BENAR
Imigrasi Kota Semarang Tangkap 40 WNA Pelaku Kejahatan ,BENAR
Klarifikasi Kementerian BUMN Atas Isu BRI Akuisisi Jiwasraya ,BENAR
TV Luar Negeri Sudah Memberitakan Prabowo The Next Presiden ,HOAX
“Video Petugas KPPS Coblosi Kertas Suara di Halmahera Tengah Beredar” ,BENAR
Klarifikasi Atas Isu Pelaku Bom Srilanka Adalah WNI ,BENAR
FPI Temukan 4 Ton Surat Suara Kosong yang Belum Dicoblos Tersimpan di Gudang Percetakan Tribun Timur ,HOAX
Akan ada aksi sweeping dari ormas Forum Betawi Rempug (FBR) ,HOAX
Klarifikasi Terkait Perbedaan Hasil Situng KPU Ketika Dipindahkan Dalam Bentuk Microsoft Excel ,BENAR
Postingan Akun Facebook Neno Warisman Sebut Prabowo Rasul Allah SWT ,HOAX
DATA RESMI TNI TUNJUKKAN KEMENANGAN PRABOWO PADA PILPRES 2019 ,HOAX
Video Emak-Emak Labrak Gudang KPU Jombang Jatim ,HOAX
Warga madura potong tangan pelaku kecurangan yang mencoblos 100 surat suara pemilu 2019 ,HOAX
Video Obama Merilis Lukisan Prabowo,HOAX
Foto Pdt.DR.Ir.Niko Njotorahardjo Mendukung Paslon Prabowo-Sandi ,HOAX
PEMUNGUTAN SUARA ULANG DI BANJARSARI SOLO ,HOAX
“hasil buntung dari tangan buntung” ,HOAX
Babi Berbulu Domba Diciptakan Austria Untuk Mengecoh Umat Muslim ,HOAX
"Pemerintah Tak Mampu, Dana Haji Menipis ",HOAX
USUNAN KABINET KERJA JILID II JOKOWI MA’RUF ,HOAX
Kaesang Pangarep (anak ketiga Jokowi) Komisaris Perusahaan Batu Bara yang lg ‘nyamar’ jadi penjual Pisang & Kopi ,HOAX
Sekjen PBB Ucapkan Selamat pada Prabowo Atas Terpilihnya Menjadi Presiden RI ,HOAX
Jalur Puncak Macet Parah Akibat Bencana ,HOAX
Rekaman Suara Yang Mencatut Gatot Nurmantyo Terkait Pilpres 2019 ,HOAX
“#AniesDimana asiik nih nies” ,HOAX
“LADY GAGA MELANTUNKAN SURAT AD-DUHAA” ,HOAX
Burhanuddin Muhtadi Dituding Dalang Quick Count Palsu ,HOAX
Video “Cebong di Saudi Bisa Nyoblos Tanpa Identitas” ,HOAX
"DITUDING TAWARKAN PEKERJAAN KE PERETAS SITUS KPU, POLRI BERI BANTAHAN ",BENAR
Foto Wiwik Sri Rahayu asal Surabaya yang Divonis Hukuman Pancung di Arab Saudi ,HOAX
"Akhirnya ada Anggota KPU yang insaf, mengaku di bayar 250 juta dan dijanjikan 12 M ",HOAX
"3 Anak Meninggal Korban Cokelat “Mermaid” di RSUD Kapal Badung, Bali ",HOAX
"Percakapan Yunarto Wijaya, Amankan Suara Pilpres ",HOAX
Klarifikasi terkait Kabar Petugas KPPS di Way Kanan Lampung Tewas Ditikam karena Melerai Keributan Timses Caleg ,BENAR
“Menag nya Saja Bilang mesti DIRANGKUL” ,HOAX
“Kepala BPKH Sebut Uang BPKH Menipis” ,HOAX
Klarifikasi Surat Edaran Intruksi Memasang Spanduk Ucapan Selamat Terpilihnya Prabowo-Sandi sebagai Presiden dan Wakil Presiden ,BENAR
Risma Walikota Surabaya Marah Besar dengan KPU dan Bawaslu ,HOAX
Unggahan Hasil C1 Pleno TPS di Bangil Pasuruan Berbeda dengan Hasil Situng KPU ,BENAR
Gambar Rancangan Gedung Istana Negara di Palangkaraya ,HOAX
Saksi Prabowo-Sandi di PPK Amalatu Mati Ditebas Lehernya Sampai Putus ,HOAX
“CURANG KOK JANGAN DIVIRALKAN” ,HOAX
“Viralkan Berulang – ulang karena Ini Masalah Nyawa” ,HOAX
Ketua KPUD Bekasi Meninggal Dunia ,HOAX
“Biar melek ahk yg mau bubarin fpi…” ,HOAX
Permen Jeli yang Dibuat dengan Gelatin yang Berasal dari Kulit dan Tulang Hewan. ,BENAR
"Klarifikasi dari Dinkes terkait Informasi Ramuan Minyak Tanah yang Bisa Mengobati Penyakit Asam Urat, Kolesterol, dan Tekanan Darah Tinggi ",BENAR
“Coba itu….dibayar brapa emak emak ini brani berbuat spt itu…urusan capres gak inget sama hijab” ,HOAX
“atas nama: DHEVA SUPRAYOGA” ,HOAX
“Dimatiin Buat Nutupin Fakta” ,HOAX
“semua anggota Bawaslu dan KPU hanya plonga plongo” ,HOAX
Video Polisi Tembak Saksi Saat Rekap Pleno KPU ,HOAX
Klarifikasi Divisi Humas Polri terkait informasi “anak China ancam tembak Jokowi dibebaskan” ,BENAR
Isu Bom Di Pintu Masuk Mall Panakukang ,HOAX
“Bangunkan saudara2mu #RakyatTahuKalianCurang” ,HOAX
"“jelaslah, siapa mereka” ",HOAX
"Video dan Foto Korban Tawuran di Jembatan Siak IV, Pekanbaru ",HOAX
"Dianggap Lecehkan Guru, Iklan Hago Diprotes ",BENAR
Ketiga Anak Kapolri Tiggal Di Singapur Dan Hidup Bermewah-mewahan ,HOAX
Foto Pose Panglima TNI & Kapolri Bersama Koalisi 01 ,HOAX
Meninggalnya Serda Supran Sida Dikaitkan dengan Virus Cacar Monyet ,HOAX
Ribuan warga Baduy sudah bergerak menuju Ibukota ,HOAX
AM HendroPriyono Meninggal Di Singapura ,HOAX
"Tanggal 22 mei pendukung 02 Kepung KPU, Wiranto: Biarkan Saja, Untuk Bahan Berburu Menembak TNI-POLRI ",HOAX
Tol Jakarta – Cikampek Ambruk ,HOAX
Informasi yang Berisi Adanya Rombongan Gangster Sudah Ada di Samarinda dan Membunuh 60 Orang ,HOAX
“Di shoot tv one cuma bisa bhs cina” ,HOAX
Kapolri : Masyarakat boleh di tembak ,HOAX
Terciduk! Diduga Oknum BAIS TNI PROVOKASI Massa di Aksi 22 Mei dan Menyudutkan POLRI ,HOAX
Habib rotan sudah sampai dijakarta bersama UAS langsung menuju Kartanegara ,HOAX
Jokowi di Mata Internasional dijuluki “Tangan Berdarah” ,HOAX
Kondisi masjid yang diserang polisi dan brimob saat ini ,HOAX
Brimob Menyamar Jadi Prajurit TNI AL ,HOAX
Otto Hasibuan Kuasa Hukum Prabowo Sandi ,HOAX
Ayah Farhan Gelar Tumpengan karena Bangga Anaknya Mati Syahid Bela Prabowo ,HOAX
“Dahnil Ajak Pendukung Prabowo Mudik Lebaran Gunakan Kuda” ,HOAX
"Prabowo Sebut Kadang Harus Mundur Tapi Bukan Menyerah, kita Berjuang Lagi 2024 ",HOAX
Bos Mayapada Jadi Pembina Brimob dan TNI ,HOAX
Pelintiran Konteks Buku “People Power” ,HOAX
“Masak Saya Dibilang ‘Ikan Buntal'” ,HOAX
“Pertemuan Referendum Raja dan Sultan Senusantara” ,HOAX
Yogyakarta akan referendum ,HOAX
KTP sang Pelaku Bom Bunuh Diri di Tugu Kartasura a.n Nur Rohman ,HOAX
Kivlan Zein dan Soenarko Bebas Hari Ini ,HOAX
Di Austria Lahar Panas keluar dari Perut Bumi ,HOAX
HASIL PENYADAPAN MABES POLRI tentang RENCANA DENSUS 88 UTK MELAKUKAN PENANGKAPAN PERWIRA TNI AKTIF ,HOAX
Video Merry Riana Sebut Indonesia Akan Bubar ,HOAX
Di bandara terminal 3 sukarno hata sudah terpasang kilat Cina air line selamat datang Cina di Indonesia ,HOAX
Polwan kiriman tiap malam datang dari soeta ,HOAX
"“Walau bulan puasa, sebagai musafir @prabowo boleh menikmati kopi” ",HOAX
Wiranto Minta Pihak yang Lebih Mencintai Kalimat Tauhid Segera Angkat Kaki dari Indonesia ,HOAX
Voucher Gratis Go-pay Rp500 Ribu di LINE ,HOAX
SPP SMA/SMK GRATIS JAWA TIMUR ,BENAR
Portal m-detiknews ,HOAX
“Geger Binatang di Kebun Binatang Indonesia Kurus” ,HOAX
KAKI TANGAN REZIM ZALIM SUDAH MULAI MENGHALANGI AGAR BW TIDAK BISA MASUK KE GEDUNG MK UNTUK IKUT SIDANG ,HOAX
Pelajar Bulukumba yang Terjerat Kasus Video Asusila Tewas Bunuh Diri ,HOAX
Tarif Dasar Listrik Naik Lagi Awal Juli 2019 ,HOAX
Kas Negara Kosong ,HOAX
Prof. Tokuda terseyum ketika memperlihatkan data kecurangan KPU ,HOAX
“Kejahatan Hindu India Modi terhadap seorang wanita Muslim yang membawa daging” ,HOAX
“Sidoarjo : Mayat baru dimasukan di liang lahat terbakar” ,HOAX
Profesor Gabe Bin Abdulah yang berasal dari Amerika latin ini kagum kepada pendukung Prabowo ,HOAX
PENEMUAN JENAZAH DALAM MOBIL DI WILAYAH PURWOKERTO ,HOAX
SURAT PEMBERITAHUAN VALIDASI NOMOR INDUK CPNS ,HOAX
Hewan Yang Ditemukan Di Kuburan Ini Punya Suara Jeritan Mengerikan ,HOAX
Menkes Jalani Terapi DSA di RSPAD Gatot Soebroto ,HOAX
Presiden Uni Afrika Al A’id E’in Al Wadiyah bin Haffaz Al Wadiyah Berpidato di Depan para Delegasi Dunia di PBB Meminta agar Seluruh Negara Menolak Jokowi sebagai Presiden Indonesia ,HOAX
"“Tiba di Den Haag, Prabowo ajukan gugatan ke Mahkamah Internasional MMA-UFC” ",HOAX
IMPORT KITA SAMPAI KE KONDOM BEKAS ,HOAX
Jokowi pidato hanya satu menit jadi tertawaan orang Jepang ,HOAX
“Jika melawan diancam proses hukum berjalan” ,HOAX
Ribuan Warga China Berdatangan Ke Indonesia Lewat Bandara Kota Pekanbaru ,HOAX
"Merdeka.com Membuat dan Menayangkan Berita “Ada Wanita Membawa Anjing Masuk Masjid, Polisi Sebut Pelaku Alami Gangguan Jiwa, Jangan Dibesar-besarkan!!”",HOAX
“Gambar karikatur di media prancis” ,HOAX
“CNN internasional bilang” ,HOAX
“awalnya cheetah mengincar kedua anaknya” ,HOAX
TEPUK LENGAN UNTUK PERTOLONGAN PERTAMA PADA SERANGAN JANTUNG ,HOAX
Lowongan 25 Orang Driver Pengantar Jemaah Haji di Arab Saudi ,HOAX
“TERB0NGKAR KENAPA C1.N@ P.K! INGIN BELI SEMUA TANAH STRATEGI DIINDONESIA” ,HOAX
Indomaret Memberikan 5000 Voucher Gratis Senilai 2 Juta Rupiah Untuk Merayakan Ultah Ke-30 ,HOAX
"Setelah wacanakan Menghapus pelajaran agama disekolah, kini terang-terangan melarang busana muslim di sekolah ",HOAX
“Salah Satu Pulau di Palu Telah di Jual ke negara China” ,HOAX
Suhu panas Kuwait melelehkan mobil dan lampu lalulintas ,HOAX
“Foto para perempuan Indonesia berhijab sekitar tahun 1700” ,HOAX
Kemendagri Telah Menolak Perpanjangan Izin FPI ,HOAX
Krupuk Babi Ber Label Halal ,HOAX
“Lolongan Histeris Siksa KUBUR Alexander” ,HOAX
Penerapan Ganjil Genap Motor Pada 18-31 Juli ,HOAX
“DUKA PERTAMA UMAT ISLAM PASCA PILPRES 2019” ,HOAX
Hari ini Goobernur Anis menunjukkan bukti otentik ke panitera Mahkamah Internasional ,HOAX
“Kementerian agama diganti namanya menjadi kementerian Urusan Haji Zakat dan Wakaf” ,HOAX
Truk TNI Angkut Warga China Ke Bandung ,HOAX
“Negara ente digadai ke China KOMUNIS” ,HOAX
Peringatan Hari Anak Nasional Se Jabar di Polda Jabar ,HOAX
Pertemuan Jokowi dan Prabowo adalah Setingan ,HOAX
Deddy Dhukun Meninggal ,HOAX
Nanas Madu Dapat Merusak Ginjal ,HOAX
